Designator,Mid X,Mid Y,Layer,Rotation
C1,23.50,16.83,Top,90.0
C2,40.01,21.59,Top,0.0
C3,46.04,21.59,Top,180.0
C4,29.21,22.23,Top,180.0
C5,19.05,22.23,Top,0.0
C6,14.29,22.23,Top,0.0
C8,20.00,16.51,Top,270.0
C9, 6.03,16.51,Top,90.0
C10,23.81,22.23,Top,0.0
POWER,49.21,13.34,Top,270.0
R1, 4.76, 6.03,Top,270.0
R2, 2.22, 6.03,Top,270.0
R3,50.80,18.10,Top,90.0
RX, 2.22,10.16,Top,180.0
TX, 4.76,10.16,Top,180.0
U$1,30.48,16.51,Top,0.0
U1,12.70,16.51,Top,180.0
